iter	Logloss
0	0.3627866874
1	0.1783505303
2	0.09523124786
3	0.0394173542
4	0.01810925482
5	0.01003244042
6	0.006693968953
7	0.004984119916
8	0.004180289266
9	0.003578304454
10	0.003194474644
11	0.002921553289
12	0.002722285408
13	0.002571184942
14	0.002454014345
15	0.002355153504
16	0.002276914346
17	0.002211475077
18	0.002147791412
19	0.002096044156
20	0.002058770384
21	0.002016046628
22	0.00197747868
23	0.00193870704
24	0.001907234675
25	0.001882348779
26	0.001861525266
27	0.001837476341
28	0.001816393136
29	0.001786531066
30	0.001766908975
31	0.001746644225
32	0.001729622244
33	0.001713419498
34	0.00170014386
35	0.001688066336
36	0.001674598933
37	0.001663089536
38	0.001651911061
39	0.001636602339
40	0.001625286733
41	0.00161552765
42	0.001599790603
43	0.001581016401
44	0.001564021251
45	0.001532380018
46	0.00151834839
47	0.001502593729
48	0.001494424394
49	0.001490030529
50	0.00146872364
51	0.001461542933
52	0.001441646614
53	0.001429659302
54	0.001415689855
55	0.001402449641
56	0.001394335603
57	0.001376147626
58	0.001373264824
59	0.001369854503
60	0.001364645113
61	0.001357831878
62	0.001354952937
63	0.001351586328
64	0.001339041423
65	0.001335756009
66	0.001327412643
67	0.001315113331
68	0.001308743831
69	0.0013014754
70	0.001290033049
71	0.001281976314
72	0.001271210208
73	0.001250362015
74	0.001239728889
75	0.001229591969
76	0.001219843073
77	0.001210206246
78	0.001204466891
79	0.001197256535
80	0.001189215631
81	0.001186153826
82	0.001180570307
83	0.001170753265
84	0.001166562552
85	0.001156160046
86	0.001147764318
87	0.001145014171
88	0.001133920017
89	0.001123948333
90	0.001120599698
91	0.001110729324
92	0.001099515038
93	0.001097537458
94	0.001088889536
95	0.001087249072
96	0.001083292114
97	0.001075529133
98	0.001070075276
99	0.001063883051
100	0.001057004146
101	0.001054508092
102	0.001053320681
